Titel;URL;Rubrik;Unterrubrik;Veröffentlicht_am;Aktualisiert_am;Autor;Zusammenfassung;Keywords;ID;Artikeltyp;Deskriptoren;Organisationen;Personen;Orte
Republican Women Suddenly Realize They’re Surrounded by Misogynists;https://www.nytimes.com/2025/12/09/opinion/republican-women-misogyny-sexism.html;Opinion;;2025-12-09;2025-12-10 20:19:14;By Michelle Goldberg;There’s a big difference between being useful and being respected.;"United States Politics and Government;Women's Rights;Women and Girls;Discrimination;Conservatism (US Politics);Johnson, Mike (1972- );Republican Party;House of Representatives";100000010574205;Article;"['United States Politics and Government', ""Women's Rights"", 'Women and Girls', 'Discrimination', 'Conservatism (US Politics)']";['Republican Party', 'House of Representatives'];['Johnson, Mike (1972- )'];[]
Judge Suggests Prosecutor on Comey and James Cases Should Resign as U.S. Attorney;https://www.nytimes.com/2025/12/09/us/politics/comey-james-halligan.html;U.S.;Politics;2025-12-09;2025-12-09 10:28:07;By Devlin Barrett;Lindsey Halligan’s indictments against James B. Comey, the former F.B.I. director, and Letitia James, the attorney general of New York, were dismissed last month over Ms. Halligan’s appointment.;"Appointments and Executive Changes;United States Politics and Government;United States Attorneys;Ethics and Official Misconduct;Brinkema, Leonie M;Halligan, Lindsey;James, Letitia;Comey, James B;Trump, Donald J;Justice Department;Virginia";100000010575666;Article;['Appointments and Executive Changes', 'United States Politics and Government', 'United States Attorneys', 'Ethics and Official Misconduct'];['Justice Department'];['Brinkema, Leonie M', 'Halligan, Lindsey', 'James, Letitia', 'Comey, James B', 'Trump, Donald J'];['Virginia']
Indiana Lawmakers Reject Trump’s New Political Map;https://www.nytimes.com/2025/12/11/us/indiana-senate-redistricting-republicans.html;U.S.;;2025-12-11;2025-12-12 08:07:41;By Mitch Smith;Republicans hold an overwhelming majority in the Indiana Senate, but more than a dozen of them defied the president’s wishes, voting against a map aimed at adding Republicans in Congress.;"Redistricting and Reapportionment;State Legislatures;Midterm Elections (2026);Federal-State Relations (US);United States Politics and Government;Trump, Donald J;Republican Party;Democratic Party;House of Representatives;Indiana";100000010578237;Article;['Redistricting and Reapportionment', 'State Legislatures', 'Midterm Elections (2026)', 'Federal-State Relations (US)', 'United States Politics and Government'];['Republican Party', 'Democratic Party', 'House of Representatives'];['Trump, Donald J'];['Indiana']
This Is What It Looks Like When Your Coalition Is Coming Apart at the Seams;https://www.nytimes.com/2025/12/07/opinion/tennessee-trump-special-election.html;Opinion;;2025-12-07;2025-12-08 11:38:15;By David French;What a special House election just told us.;"Elections, House of Representatives;United States Politics and Government;Presidential Election of 2024;Midterm Elections (2026);Right-Wing Extremism and Alt-Right;Conservatism (US Politics);Van Epps, Matt (1983- );Behn, Aftyn;Trump, Donald J;Republican Party;Tennessee;Nashville (Tenn)";100000010568228;Article;['Elections, House of Representatives', 'United States Politics and Government', 'Presidential Election of 2024', 'Midterm Elections (2026)', 'Right-Wing Extremism and Alt-Right', 'Conservatism (US Politics)'];['Republican Party'];['Van Epps, Matt (1983- )', 'Behn, Aftyn', 'Trump, Donald J'];['Tennessee', 'Nashville (Tenn)']
Sophie Kinsella, ‘Confessions of a Shopaholic’ Author, Dies at 55;https://www.nytimes.com/2025/12/10/books/sophie-kinsella-dead-madeleine-wickham.html;Books;;2025-12-10;2025-12-11 20:41:07;By Sopan Deb;Writing under a pseudonym, Madeleine Wickham cultivated an international following for her series centered on a young woman addicted to shopping.;"Books and Literature;Deaths (Obituaries);Writing and Writers;Shopping and Retail;internal-open-access-from-nl;Kinsella, Sophie";100000009419203;Article;['Books and Literature', 'Deaths (Obituaries)', 'Writing and Writers', 'Shopping and Retail', 'internal-open-access-from-nl'];[];['Kinsella, Sophie'];[]
How a Manosphere Star Accused of Rape and Trafficking Was Freed;https://www.nytimes.com/2025/12/10/us/andrew-tate-barron-trump-romania.html;U.S.;;2025-12-10;2025-12-11 16:08:29;By Megan Twohey and Isabella Kwai;Barred from leaving Romania, Andrew Tate courted powerful figures on the American right, from Tucker Carlson to Barron Trump. Then an extraordinary order let him go.;"internal-open-access-from-nl;Right-Wing Extremism and Alt-Right;Sex Crimes;Child Abuse and Neglect;Human Trafficking;Pornography;Domestic Violence;United States International Relations;United States Politics and Government;Content Type: Personal Profile;vis-design;Men and Boys;Tate, Andrew (1986- );Tate, Tristan;Trump, Donald J;Trump, Barron (2006- );Trump, Donald J Jr;Grenell, Richard;Carlson, Tucker;Romania;Great Britain";100000010429987;Article;['internal-open-access-from-nl', 'Right-Wing Extremism and Alt-Right', 'Sex Crimes', 'Child Abuse and Neglect', 'Human Trafficking', 'Pornography', 'Domestic Violence', 'United States International Relations', 'United States Politics and Government', 'Content Type: Personal Profile', 'vis-design', 'Men and Boys'];[];['Tate, Andrew (1986- )', 'Tate, Tristan', 'Trump, Donald J', 'Trump, Barron (2006- )', 'Trump, Donald J Jr', 'Grenell, Richard', 'Carlson, Tucker'];['Romania', 'Great Britain']
Netflix to Buy Warner Bros. in $83 Billion Deal to Create a Streaming Giant;https://www.nytimes.com/2025/12/05/business/warner-brothers-discovery-netflix.html;Business;;2025-12-05;2025-12-05 23:38:38;By Brooks Barnes, Lauren Hirsch and Nicole Sperling;The deal to acquire the Hollywood behemoth’s television and film studios as well as HBO Max will bulk up the world’s biggest paid streaming service.;"Movies;Video Recordings, Downloads and Streaming;Mergers, Acquisitions and Divestitures;Television;Warner Bros Discovery;Netflix Inc;HBO Max";100000010566946;Article;['Movies', 'Video Recordings, Downloads and Streaming', 'Mergers, Acquisitions and Divestitures', 'Television'];['Warner Bros Discovery', 'Netflix Inc', 'HBO Max'];[];[]
How Biden Ignored Warnings and Lost Americans’ Faith in Immigration;https://www.nytimes.com/2025/12/07/us/politics/biden-immigration-trump.html;U.S.;Politics;2025-12-07;2025-12-08 10:36:54;By Christopher Flavelle;The Democratic president and his top advisers rejected recommendations that could have eased the border crisis that helped return Donald Trump to the White House.;"Illegal Immigration;United States Politics and Government;Presidential Election of 2024;Polls and Public Opinion;Deportation;Border Barriers;Asylum, Right of;Immigration and Emigration;Immigration Detention;Biden, Joseph R Jr;Trump, Donald J;Abbott, Gregory W (1957- );Harris, Kamala D;Johnston, Michael (1974- );Murphy, Christopher Scott;Border Patrol (US);Homeland Security Department;Immigration and Customs Enforcement (US);Texas;Denver (Colo)";100000010443770;Article;['Illegal Immigration', 'United States Politics and Government', 'Presidential Election of 2024', 'Polls and Public Opinion', 'Deportation', 'Border Barriers', 'Asylum, Right of', 'Immigration and Emigration', 'Immigration Detention'];['Border Patrol (US)', 'Homeland Security Department', 'Immigration and Customs Enforcement (US)'];['Biden, Joseph R Jr', 'Trump, Donald J', 'Abbott, Gregory W (1957- )', 'Harris, Kamala D', 'Johnston, Michael (1974- )', 'Murphy, Christopher Scott'];['Texas', 'Denver (Colo)']
Panel Votes to Stop Recommending Hepatitis B Shots at Birth for Most Newborns;https://www.nytimes.com/2025/12/05/health/kennedy-vaccine-committee-vote-hepatitisb.html;Health;;2025-12-05;2025-12-05 23:49:35;By Apoorva Mandavilli;In a move toward Health Secretary Robert F. Kennedy Jr.’s goal of upending vaccine policy, the committee recommended delaying the shots for infants whose mothers test negative for the virus.;"your-feed-science;Vaccination and Immunization;Babies and Infants;Hepatitis;Disease Rates;Children and Childhood;Rumors and Misinformation;Liver;Medicine and Health;Sexually Transmitted Diseases;Regulation and Deregulation of Industry;Viruses;Kennedy, Robert F Jr;Trump, Donald J;Advisory Committee on Immunization Practices;Centers for Disease Control and Prevention";100000010560357;Article;['your-feed-science', 'Vaccination and Immunization', 'Babies and Infants', 'Hepatitis', 'Disease Rates', 'Children and Childhood', 'Rumors and Misinformation', 'Liver', 'Medicine and Health', 'Sexually Transmitted Diseases', 'Regulation and Deregulation of Industry', 'Viruses'];['Advisory Committee on Immunization Practices', 'Centers for Disease Control and Prevention'];['Kennedy, Robert F Jr', 'Trump, Donald J'];[]
How to Find a Date in a Country With Over 30 Million Extra Men;https://www.nytimes.com/2025/12/04/opinion/china-dating-men-one-child-policy.html;Opinion;;2025-12-04;2025-12-09 20:45:02;By Violet Du Feng;A decade after the end of the one-child policy, China has over 30 million so-called surplus men. Can this dating boot camp help them find love?;"Documentary Films and Programs;Men and Boys;Single Persons;Dating and Relationships;Marriages;China";100000010529988;Article;['Documentary Films and Programs', 'Men and Boys', 'Single Persons', 'Dating and Relationships', 'Marriages'];[];[];['China']
